wave_number,items,patial,max_patial,date_start,date_endzone,mhe,wave_type
1,7,5760,5760,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
2,4,160,4400,01/10/2019,01/10/2019,NZONE04,PalletJack,NationalCase
3,1,40,4400,01/10/2019,01/10/2019,NZONE04,PalletJack,NationalCase
4,1,40,4400,01/10/2019,01/10/2019,NZONE04,PalletJack,NationalCase
5,1,40,4400,01/10/2019,01/10/2019,NZONE04,PalletJack,NationalCase
6,1,40,4400,01/10/2019,01/10/2019,NZONE04,PalletJack,NationalCase
7,1,40,4400,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
8,13,1320,3000,01/10/2019,01/10/2019,NZONE04,PalletJack,NationalCase
9,28,1120,4400,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
10,28,635,4400,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
11,16,770,3000,02/10/2019,08/10/2019,NZONE04,PalletJack,NationalCase
12,110,4400,4400,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
13,110,4400,4400,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
14,110,4400,4400,01/10/2019,10/10/2019,NZONE04,PalletJack,NationalCase
15,110,4400,4400,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
16,115,4400,4400,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
17,111,4395,4400,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
18,110,4385,4400,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
19,112,4375,4400,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
20,112,4380,4400,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
21,34,2930,3000,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
22,31,3000,3000,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
23,15,1230,3000,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
24,1,8000,3000,01/10/2019,10/10/2019,NZONE04,PalletJack,NationalCase
25,3,120,3000,02/10/2019,08/10/2019,NZONE04,PalletJack,NationalCase
26,1,20000,3000,01/10/2019,10/10/2019,NZONE04,PalletJack,NationalCase
27,66,2640,4400,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
28,98,3920,4400,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
29,102,4080,4400,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
30,86,3440,4400,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
31,91,3460,4400,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
32,112,4395,4400,09/10/2019,09/10/2019,NZONE04,PalletJack,NationalCase
33,114,4130,4400,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
34,90,3275,4400,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
35,80,3200,4400,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
36,22,1840,3000,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
37,22,1745,3000,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
38,21,1680,3000,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
39,33,2960,3000,03/10/2019,08/10/2019,NZONE04,PalletJack,NationalCase
40,28,2540,3000,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
41,21,1800,3000,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
42,1,480,5760,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
43,3,2400,5760,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
44,5,3360,5760,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
45,2,1440,5760,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
46,1,40,4400,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
47,2,80,4400,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
48,3,120,4400,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
49,2,160,3000,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
50,9,720,3000,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
51,3,240,3000,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
52,4,320,3000,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
53,2,160,3000,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
54,4,320,3000,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
55,6,480,3000,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
56,2,160,3000,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
57,1,80,3000,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
58,1,480,5760,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
59,4,160,4400,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
60,2,80,4400,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
61,1,40,4400,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
62,3,120,4400,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
63,3,120,4400,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
64,4,160,4400,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
65,85,3400,4400,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
66,54,2985,3000,08/10/2019,08/10/2019,NZONE04,PalletJack,NationalCase
